date,paycount,reg
2019-06-10,273.1,JP
2019-06-11,250.0,JP
2019-06-12,316.0,JP
2019-06-13,212.0,JP
2019-06-14,300.0,JP
2019-06-15,410.0,JP
2019-06-16,504.0,JP
2019-06-17,286.0,JP
2019-06-18,447.0,JP
2019-06-19,304.0,JP
2019-06-20,315.0,JP
2019-06-21,323.0,JP
2019-06-22,551.0,JP
2019-06-23,503.0,JP
2019-06-10,239.0,TW
2019-06-11,236.0,TW
2019-06-12,176.0,TW
2019-06-13,185.0,TW
2019-06-14,316.0,TW
2019-06-15,348.0,TW
2019-06-16,244.0,TW
2019-06-17,129.0,TW
2019-06-18,261.0,TW
2019-06-19,180.0,TW
2019-06-20,207.0,TW
2019-06-21,197.0,TW
2019-06-22,212.0,TW
2019-06-23,293.0,TW
2019-06-10,1090.0,UK
2019-06-11,736.0,UK
2019-06-12,1077.0,UK
2019-06-13,798.0,UK
2019-06-14,913.0,UK
2019-06-15,1043.0,UK
2019-06-16,851.0,UK
2019-06-17,776.0,UK
2019-06-18,877.0,UK
2019-06-19,867.0,UK
2019-06-20,1057.0,UK
2019-06-21,680.0,UK
2019-06-22,765.0,UK
2019-06-23,1121.0,UK
2019-06-10,5203.0,US
2019-06-11,5175.0,US
2019-06-12,5259.0,US
2019-06-13,5556.0,US
2019-06-14,7225.0,US
2019-06-15,6946.0,US
2019-06-16,7256.0,US
2019-06-17,6658.0,US
2019-06-18,7223.0,US
2019-06-19,7134.0,US
2019-06-20,6962.0,US
2019-06-21,7195.0,US
2019-06-22,7723.0,US
2019-06-23,8083.0,US
